,rated,turns,white_rating,black_rating,opening_ply,increment_code_0+15,increment_code_0+25,increment_code_1+10,increment_code_1+12,increment_code_1+30,increment_code_10+0,increment_code_10+1,increment_code_10+10,increment_code_10+11,increment_code_10+15,increment_code_10+180,increment_code_10+2,increment_code_10+25,increment_code_10+3,increment_code_10+30,increment_code_10+4,increment_code_10+5,increment_code_10+6,increment_code_10+60,increment_code_10+7,increment_code_10+8,increment_code_10+9,increment_code_11+0,increment_code_11+11,increment_code_11+5,increment_code_11+8,increment_code_12+0,increment_code_12+1,increment_code_12+10,increment_code_12+12,increment_code_12+13,increment_code_12+2,increment_code_12+5,increment_code_12+6,increment_code_12+8,increment_code_120+0,increment_code_13+1,increment_code_13+10,increment_code_13+2,increment_code_13+3,increment_code_14+0,increment_code_14+10,increment_code_14+12,increment_code_14+14,increment_code_14+4,increment_code_14+8,increment_code_15+0,increment_code_15+1,increment_code_15+10,increment_code_15+11,increment_code_15+14,increment_code_15+15,increment_code_15+16,increment_code_15+2,increment_code_15+20,increment_code_15+3,increment_code_15+30,increment_code_15+4,increment_code_15+45,increment_code_15+5,increment_code_15+6,increment_code_15+60,increment_code_15+7,increment_code_15+8,increment_code_150+180,increment_code_16+0,increment_code_16+1,increment_code_16+2,increment_code_16+7,increment_code_17+1,increment_code_17+11,increment_code_17+2,increment_code_17+3,increment_code_17+5,increment_code_17+8,increment_code_18+0,increment_code_18+5,increment_code_180+0,increment_code_180+180,increment_code_180+60,increment_code_180+8,increment_code_19+0,increment_code_19+17,increment_code_19+19,increment_code_2+10,increment_code_2+15,increment_code_20+0,increment_code_20+1,increment_code_20+10,increment_code_20+15,increment_code_20+2,increment_code_20+20,increment_code_20+25,increment_code_20+3,increment_code_20+30,increment_code_20+5,increment_code_20+6,increment_code_20+60,increment_code_20+7,increment_code_20+8,increment_code_25+0,increment_code_25+10,increment_code_25+15,increment_code_25+2,increment_code_25+25,increment_code_25+3,increment_code_25+30,increment_code_25+5,increment_code_25+8,increment_code_3+10,increment_code_3+12,increment_code_3+15,increment_code_3+8,increment_code_3+9,increment_code_30+0,increment_code_30+1,increment_code_30+10,increment_code_30+11,increment_code_30+12,increment_code_30+15,increment_code_30+2,increment_code_30+25,increment_code_30+3,increment_code_30+30,increment_code_30+35,increment_code_30+5,increment_code_30+6,increment_code_30+60,increment_code_30+7,increment_code_4+10,increment_code_4+15,increment_code_4+6,increment_code_4+8,increment_code_40+0,increment_code_40+10,increment_code_40+20,increment_code_40+30,increment_code_40+40,increment_code_45+0,increment_code_45+10,increment_code_45+15,increment_code_45+30,increment_code_45+4,increment_code_45+45,increment_code_45+5,increment_code_5+10,increment_code_5+12,increment_code_5+15,increment_code_5+20,increment_code_5+30,increment_code_5+40,increment_code_5+5,increment_code_5+6,increment_code_5+60,increment_code_5+7,increment_code_5+8,increment_code_5+9,increment_code_6+10,increment_code_6+20,increment_code_6+3,increment_code_6+4,increment_code_6+5,increment_code_6+6,increment_code_6+7,increment_code_6+8,increment_code_6+9,increment_code_60+0,increment_code_60+10,increment_code_60+120,increment_code_60+20,increment_code_60+3,increment_code_60+30,increment_code_60+4,increment_code_60+60,increment_code_7+10,increment_code_7+12,increment_code_7+14,increment_code_7+2,increment_code_7+25,increment_code_7+3,increment_code_7+4,increment_code_7+5,increment_code_7+7,increment_code_7+8,increment_code_8+0,increment_code_8+1,increment_code_8+10,increment_code_8+12,increment_code_8+15,increment_code_8+2,increment_code_8+25,increment_code_8+3,increment_code_8+5,increment_code_8+6,increment_code_8+7,increment_code_8+8,increment_code_8+9,increment_code_9+0,increment_code_9+1,increment_code_9+10,increment_code_9+12,increment_code_9+2,increment_code_9+20,increment_code_9+3,increment_code_9+5,increment_code_9+9,increment_code_90+0,increment_code_90+120,increment_code_90+30,winner_black,winner_draw,winner_white
0,0,13,1500,1191,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,16,1322,1261,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,1,61,1496,1500,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,1,61,1439,1454,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,1,95,1523,1469,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,0,5,1250,1002,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6,1,33,1520,1423,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7,0,9,1413,2108,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8,1,66,1439,1392,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
9,1,119,1381,1209,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
